Slide Name,Order,Sample,Species,Organ,Uploaded Name,Relavant_For_Analysis_Y_N
13829$2019-087-7$US$SCAN$OR$001 .svs,13829,2019-087-7,Human,Other,scanned/2021-02-12/13829$2019-087-7$US$SCAN$OR$001 .svs,
13829$2019-087-8$US$SCAN$OR$001 .svs,13829,2019-087-8,Human,Other,scanned/2021-02-12/13829$2019-087-8$US$SCAN$OR$001 .svs,
13829$2019-087-9$US$SCAN$OR$001 .svs,13829,2019-087-9,Human,Other,scanned/2021-02-12/13829$2019-087-9$US$SCAN$OR$001 .svs,
13829$2019-087-11$US$SCAN$OR$001 .svs,13829,2019-087-11,Human,Other,scanned/2021-02-12/13829$2019-087-11$US$SCAN$OR$001 .svs,
13829$2019-087-10$US$SCAN$OR$001 .svs,13829,2019-087-10,Human,Other,scanned/2021-02-12/13829$2019-087-10$US$SCAN$OR$001 .svs,
13829$2019-087-12$US$SCAN$OR$001 .svs,13829,2019-087-12,Human,Other,scanned/2021-02-12/13829$2019-087-12$US$SCAN$OR$001 .svs,
13829$2019-087-13$US$SCAN$OR$001 .svs,13829,2019-087-13,Human,Other,scanned/2021-02-12/13829$2019-087-13$US$SCAN$OR$001 .svs,
13829$2019-080-1$US$SCAN$OR$001 .svs,13829,2019-080-1,Human,Other,scanned/2021-02-12/13829$2019-080-1$US$SCAN$OR$001 .svs,
13829$2019-080-2$US$SCAN$OR$001 .svs,13829,2019-080-2,Human,Other,scanned/2021-02-12/13829$2019-080-2$US$SCAN$OR$001 .svs,
13829$2019-080-3$US$SCAN$OR$001 .svs,13829,2019-080-3,Human,Other,scanned/2021-02-12/13829$2019-080-3$US$SCAN$OR$001 .svs,
13829$2019-080-4$US$SCAN$OR$001 .svs,13829,2019-080-4,Human,Other,scanned/2021-02-12/13829$2019-080-4$US$SCAN$OR$001 .svs,
13829$2019-080-6$US$SCAN$OR$001 .svs,13829,2019-080-6,Human,Other,scanned/2021-02-12/13829$2019-080-6$US$SCAN$OR$001 .svs,
13829$2019-080-5$US$SCAN$OR$001 .svs,13829,2019-080-5,Human,Other,scanned/2021-02-12/13829$2019-080-5$US$SCAN$OR$001 .svs,
13829$2019-080-7$US$SCAN$OR$001 .svs,13829,2019-080-7,Human,Other,scanned/2021-02-12/13829$2019-080-7$US$SCAN$OR$001 .svs,
13829$2019-080-8$US$SCAN$OR$001 .svs,13829,2019-080-8,Human,Other,scanned/2021-02-12/13829$2019-080-8$US$SCAN$OR$001 .svs,
