,slidename,order,sample,notes
0,13829$2019-034-9$US$SCAN$OR$001 .svs,13829,2019-034-9,Immuno
0,13829$2019-026-9$US$SCAN$OR$001 .svs,13829,2019-026-9,Immuno
0,13829$2019-034-10$US$SCAN$OR$001 .svs,13829,2019-034-10,Immuno
0,13829$2019-026-10$US$SCAN$OR$001 .svs,13829,2019-026-10,Immuno
0,13829$2019-034-11$US$SCAN$OR$001 .svs,13829,2019-034-11,Immuno
0,13829$2019-026-11$US$SCAN$OR$001 .svs,13829,2019-026-11,Immuno
0,13829$2019-006-7$US$SCAN$OR$001 .svs,13829,2019-006-7,Immuno
0,13829$2019-006-8$US$SCAN$OR$001 .svs,13829,2019-006-8,Immuno
0,13829$2019-006-9$US$SCAN$OR$001 .svs,13829,2019-006-9,Immuno
0,13829$2019-006-10$US$SCAN$OR$001 .svs,13829,2019-006-10,Pentachrome
0,13829$2019-027-7$US$SCAN$OR$001 .svs,13829,2019-027-7,Control
0,13829$2019-027-8$US$SCAN$OR$001 .svs,13829,2019-027-8,Pentachrome
0,13829$2019-027-10$US$SCAN$OR$001 .svs,13829,2019-027-10,Immuno
0,13829$2019-027-11$US$SCAN$OR$001 .svs,13829,2019-027-11,Immuno
0,13829$2019-107-7$US$SCAN$OR$001 .svs,13829,2019-107-7,Pentachrome
0,13829$2019-107-8$US$SCAN$OR$001 .svs,13829,2019-107-8,Immuno
0,13829$2019-107-9$US$SCAN$OR$001 .svs,13829,2019-107-9,Immuno
0,13829$2019-031-6$US$SCAN$OR$001 .svs,13829,2019-031-6,Pentachrome
0,13829$2019-107-11$US$SCAN$OR$001 .svs,13829,2019-107-11,Control
0,13829$2019-107-10$US$SCAN$OR$001 .svs,13829,2019-107-10,Immuno
0,13829$2019-031-9$US$SCAN$OR$001 .svs,13829,2019-031-9,Immuno
0,13829$2019-031-8$US$SCAN$OR$001 .svs,13829,2019-031-8,Pentachrome
0,13829$2019-031-10$US$SCAN$OR$001 .svs,13829,2019-031-10,Immuno
0,13829$2019-031-11$US$SCAN$OR$001 .svs,13829,2019-031-11,Immuno
0,13829$2019-004-7$US$SCAN$OR$001 .svs,13829,2019-004-7,Pentachrome
0,13829$2019-004-8$US$SCAN$OR$001 .svs,13829,2019-004-8,Control
0,13829$2019-004-9$US$SCAN$OR$001 .svs,13829,2019-004-9,Immuno
0,13829$2019-004-10$US$SCAN$OR$001 .svs,13829,2019-004-10,Immuno
0,13829$2019-004-11$US$SCAN$OR$001 .svs,13829,2019-004-11,Immuno
0,13829$2019-021-8$US$SCAN$OR$001 .svs,13829,2019-021-8,Immuno
0,13829$2019-023-8$US$SCAN$OR$001 .svs,13829,2019-023-8,Control
0,13829$2019-105-7$US$SCAN$OR$001 .svs,13829,2019-105-7,Pentachrome
0,13829$2019-105-8$US$SCAN$OR$001 .svs,13829,2019-105-8,Immuno
0,13829$2019-023-7$US$SCAN$OR$001 .svs,13829,2019-023-7,Pentachrome
